,,,,,,,,,,,,,,,,,,,,,
Player ID:,976684,,,,,,,,,,,,,,,,,,,,
Player Name:,Davis Feldman,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number
25,Tue Apr 19 2022 8:14:34 PM,1650399274,ChangeUp,N,14.45,32.72,82.18,1555.3,1423.9,91.6,1:38,0.9,10.9,12.4,-1.90,0.50,4.87,1.68,23.72,976684@1650399274,RBB21YIQQ31R
26,Tue Apr 19 2022 8:14:51 PM,1650399291,Slider,Y,8.42,20.59,82.14,2826,520,18.4,8:28,1,-1.0,-5.1,-0.70,-0.06,4.79,1.78,79.40,976684@1650399291,RBB21YIQQ31R
27,Tue Apr 19 2022 8:15:48 PM,1650399348,CurveBall,Y,7.60,18.89,77.19,2498.3,1407.9,56.4,6:46,0.9,-11.7,-6.4,-0.58,0.91,5.08,1.38,55.70,976684@1650399348,RBB21YIQQ31R
28,Tue Apr 19 2022 8:16:05 PM,1650399365,Fastball,Y,4.74,21.17,92.35,2330.4,2115.8,90.8,0:48,0.8,17.3,7.7,-2.30,-1.61,4.93,1.41,24.78,976684@1650399365,RBB21YIQQ31R
29,Tue Apr 19 2022 8:16:37 PM,1650399397,Slider,Y,8.98,35.00,82.84,2784.9,703.5,25.3,6:18,0.8,-5.7,-2.1,-0.69,0.79,4.85,1.74,75.37,976684@1650399397,RBB21YIQQ31R
30,Tue Apr 19 2022 8:17:08 PM,1650399428,Fastball,N,17.48,53.74,90.62,2283.4,2035.6,89.2,0:56,0.9,16.3,8.5,-0.92,1.18,4.92,1.51,26.94,976684@1650399428,RBB21YIQQ31R
31,Tue Apr 19 2022 8:17:56 PM,1650399476,Slider,N,12.10,30.33,79.95,2756.4,1051.3,38.1,7:24,0.8,-6.4,-7.2,0.73,1.42,4.76,1.41,67.58,976684@1650399476,RBB21YIQQ31R
32,Tue Apr 19 2022 8:33:40 PM,1650400420,Fastball,N,19.49,59.02,90.96,1161.1,1136.4,97.9,0:6,0.6,14.3,0.9,-2.42,3.17,4.35,2.16,-11.85,976684@1650400420,RBB21YIQQ31R
33,Tue Apr 19 2022 8:34:06 PM,1650400446,Fastball,N,12.14,26.69,89.33,2319.4,2266.1,97.7,1:2,0.7,17.7,10.5,-0.21,-1.51,5.03,1.31,12.31,976684@1650400446,RBB21YIQQ31R
34,Tue Apr 19 2022 8:34:23 PM,1650400463,ChangeUp,N,20.24,35.09,81.74,1531.8,1415.3,92.4,1:22,0.8,12.5,10.7,-1.25,1.16,4.90,1.76,22.49,976684@1650400463,RBB21YIQQ31R
35,Tue Apr 19 2022 8:34:42 PM,1650400482,Fastball,N,14.56,50.92,90.44,2423,2191.6,90.4,0:56,1,16.9,9.0,-1.11,0.54,5.05,1.38,25.25,976684@1650400482,RBB21YIQQ31R
36,Tue Apr 19 2022 8:35:48 PM,1650400548,Fastball,N,13.68,51.62,91.03,2283,2139.1,93.7,0:52,0.9,17.3,8.5,-0.75,0.92,4.91,1.53,20.45,976684@1650400548,RBB21YIQQ31R
37,Tue Apr 19 2022 8:36:09 PM,1650400569,Fastball,N,14.44,41.33,90.48,2322.7,2161,93,0:52,0.8,17.4,8.4,-0.35,-0.76,5.09,1.41,21.51,976684@1650400569,RBB21YIQQ31R
38,Tue Apr 19 2022 8:36:26 PM,1650400586,Slider,N,23.30,30.82,79.37,2813.9,1172,41.7,7:28,0.9,-6.8,-8.1,1.00,1.47,4.82,1.85,65.39,976684@1650400586,RBB21YIQQ31R
39,Tue Apr 19 2022 8:36:46 PM,1650400606,ChangeUp,N,27.17,40.06,80.85,1509.5,1276.1,84.5,1:32,0.9,10.5,10.6,-0.62,1.21,4.93,1.51,32.29,976684@1650400606,RBB21YIQQ31R
40,Tue Apr 19 2022 8:37:08 PM,1650400628,Fastball,Y,4.99,30.91,89.65,2284.3,2069.1,90.6,0:54,0.9,16.7,8.4,-1.49,-1.19,5.10,1.31,25.07,976684@1650400628,RBB21YIQQ31R
41,Tue Apr 19 2022 8:37:28 PM,1650400648,Slider,N,15.00,34.09,79.39,2797.5,988.2,35.3,7:32,0.9,-5.6,-7.2,0.26,1.73,4.80,1.67,69.32,976684@1650400648,RBB21YIQQ31R
42,Tue Apr 19 2022 8:38:03 PM,1650400683,ChangeUp,N,15.74,17.49,82.01,1545.8,1259.3,81.5,1:34,0.9,10.0,10.6,-1.79,-0.98,4.96,1.77,35.45,976684@1650400683,RBB21YIQQ31R
43,Tue Apr 19 2022 8:38:23 PM,1650400703,Fastball,N,12.17,38.80,90.46,2398.9,2090.9,87.2,0:48,0.8,16.9,7.4,-1.67,-0.10,5.00,1.43,29.36,976684@1650400703,RBB21YIQQ31R
