,,,,,,,,,,,,,,,,,,,,,
Player ID:,700561,,,,,,,,,,,,,,,,,,,,
Player Name:,Austin Steinfort,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
No,Date,Pitch ID,Pitch Type,Is Strike,Strike Zone Side,Strike Zone Height,Velocity,Total Spin,True Spin (release),Spin Efficiency (release),Spin Direction,Spin Confidence,VB (spin),HB (spin),Horizontal Angle,Release Angle,Release Height,Release Side,Gyro Degree (deg),Unique ID,Device Serial Number
26,Tue Apr 19 2022 8:07:09 PM,1650398829,CurveBall,N,22.01,50.66,70.97,2134.4,2030.7,95.1,6:20,0.9,-20.9,-4.4,1.33,4.29,5.86,0.82,17.93,700561@1650398829,RBB21YIQQ31R
27,Tue Apr 19 2022 8:07:27 PM,1650398847,Fastball,Y,-0.38,32.19,91.2,1860.6,1824.4,98.1,0:4,0.5,18.9,0.9,-2.24,-3.43,6.03,1.15,11.33,700561@1650398847,RBB21YIQQ31R
28,Tue Apr 19 2022 8:07:48 PM,1650398868,CurveBall,N,12.36,24.98,69.5,2251.3,2130.2,94.6,6:16,0.9,-21.7,-3.9,0.52,1.98,5.89,0.79,18.88,700561@1650398868,RBB21YIQQ31R
29,Tue Apr 19 2022 8:08:14 PM,1650398894,Splitter,N,6.42,-5.24,82.83,924.4,904.2,97.8,1:16,0.8,10.7,8.1,-0.75,-4.54,5.70,1.20,11.99,700561@1650398894,RBB21YIQQ31R
30,Tue Apr 19 2022 8:08:39 PM,1650398919,Fastball,N,-0.81,42.21,92.97,2292.5,2146.5,93.6,0:48,0.9,17.6,7.9,-2.11,-1.93,6.00,1.08,20.56,700561@1650398919,RBB21YIQQ31R
31,Tue Apr 19 2022 8:20:23 PM,1650399623,Fastball,N,3.45,14.46,78.51,1301.2,938.6,72.1,1:24,0.9,9.2,7.8,-1.83,-1.67,5.90,1.43,43.83,700561@1650399623,RBB21YIQQ31R
32,Tue Apr 19 2022 8:20:35 PM,1650399635,Fastball,N,14.07,18.08,90.33,2186.6,2139.9,97.9,1:4,0.9,17.1,10.6,-0.71,-3.66,6.04,1.19,11.87,700561@1650399635,RBB21YIQQ31R
33,Tue Apr 19 2022 8:21:17 PM,1650399677,Cutter,N,19.11,33.06,83.53,2276.5,1010.8,44.4,0:32,0.9,9.1,2.0,0.24,-1.37,5.91,1.34,63.64,700561@1650399677,RBB21YIQQ31R
34,Tue Apr 19 2022 8:21:31 PM,1650399691,Fastball,N,10.39,35.24,91.78,2308.2,2164.1,93.8,1:6,0.9,16.3,10.6,-1.16,-2.11,6.00,1.25,20.35,700561@1650399691,RBB21YIQQ31R
35,Tue Apr 19 2022 8:22:12 PM,1650399732,Splitter,N,17.83,6.52,82.51,879.3,815.3,92.7,1:18,0.8,9.5,7.6,-1.08,-3.07,5.98,1.18,21.99,700561@1650399732,RBB21YIQQ31R
36,Tue Apr 19 2022 8:22:29 PM,1650399749,Fastball,N,16.23,34.61,91.34,2340.5,2298.8,98.2,0:40,0.9,19.4,7.0,-0.56,-2.90,6.03,1.16,10.83,700561@1650399749,RBB21YIQQ31R
37,Tue Apr 19 2022 8:23:23 PM,1650399803,CurveBall,N,4.58,42.87,70.26,2280,2211.9,97,6:18,0.9,-22.0,-4.2,-0.13,3.75,5.94,0.86,14.04,700561@1650399803,RBB21YIQQ31R
38,Tue Apr 19 2022 8:23:37 PM,1650399817,Cutter,Y,1.04,36.24,85.96,2385.3,759.9,31.9,11:50,0.9,6.9,-1.2,-1.47,-0.71,5.92,1.29,71.42,700561@1650399817,RBB21YIQQ31R
