,last_name_x,last_name_y, first_name_x,player_id,pitch_hand,pitch_type,pitch_name_x,pitch_name_y,pitches,n_pitches,pitch_usage,release_speed,spin_rate,movement_inches,spin_eff%,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,diff_measured_inferred,diff2,run_value_per_100,run_value,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label,team_name_alt,bauer_units
487,Mayers,Mayers, Mike,594577,R,FC,Cutter,Cutter,374,361,30.3,91.2,2327,11.2,64,0.5117529249680376,0.6402084609175606,155.5939417779903,173.3145055185667,-17.72056374057641,17.720563740576413,1.1,4,89,0.325,0.494,0.4,22.6,22.5,23.3,0.259,0.463,0.358,43.9,30,12,45,12,15,0,30,12:45,12:15,+0H 30M,LAA,25.515350877192983
488,Mayers,Mayers, Mike,594577,R,SL,Slider,Slider,391,381,31.6,85.1,2135,3.9,20,0.1795246925404772,0.1951501493489376,245.7188008759283,286.12128016545785,-40.40247928952954,40.402479289529545,-1.4,-5,96,0.218,0.322,0.275,33.7,22.9,19.8,0.233,0.327,0.276,40.3,75,9,45,8,30,1,15,9:45,8:30,+1H 15M,LAA,25.088131609870743
489,Mayers,Mayers, Mike,594577,R,FF,4-Seamer,4-Seam Fastball,468,465,37.9,94.5,2348,19.9,93,0.9230521754089844,0.9346848173729222,139.8959619872642,143.15323402236862,-3.257272035104421,3.2572720351044238,0.7,3,129,0.227,0.471,0.324,30.1,36.4,27.8,0.188,0.395,0.28,41.7,0,1,15,1,15,0,0,1:15,1:15, 0H 00M,LAA,24.84656084656085
490,Mayza,Mayza, Tim,641835,L,SL,Slider,Slider,242,238,28.8,88.0,2174,3.2,18,0.148001218902542,0.1832815291668036,208.0656428951622,170.38466307928857,37.68097981587363,37.68097981587363,0.8,2,59,0.232,0.375,0.295,42.5,42.4,26.6,0.205,0.294,0.252,45.2,-75,11,0,12,15,1,15,11:00,12:15,-1H 15M,TOR,24.704545454545453
491,McClanahan,McClanahan, Shane,663556,L,SL,Slider,Slider,677,664,34.6,89.1,2398,5.0,23,0.2261390460802983,0.2275229682978327,133.89836983571354,98.35752683566125,35.54084300005229,35.54084300005228,-1.1,-8,190,0.198,0.299,0.255,39.9,37.4,26.6,0.224,0.362,0.278,42.1,-75,1,30,2,45,1,15,1:30,2:45,-1H 15M,TB,26.913580246913583
492,McClanahan,McClanahan, Shane,663556,L,FF,4-Seamer,4-Seam Fastball,799,795,40.9,96.4,2256,19.2,97,0.910330217569468,0.9677462218204697,214.8437169139836,215.20449398651095,-0.3607770725274122,0.3607770725274065,-0.4,-3,204,0.308,0.5,0.39,19.3,15.7,19.5,0.322,0.573,0.411,55.0,0,10,45,10,45,0,0,10:45,10:45, 0H 00M,TB,23.402489626556015
493,McCullers Jr.,McCullers Jr., Lance,621121,R,SL,Slider,Slider,720,712,25.8,86.0,2797,15.0,43,0.6227763171763695,0.4317934304758194,287.00269662810865,257.37865544980457,29.624041178304083,29.624041178304157,-2.0,-14,188,0.15,0.244,0.255,35.9,36.7,24.6,0.144,0.231,0.237,25.0,-60,8,30,9,30,1,0,8:30,9:30,-1H 00M,HOU,32.52325581395349
494,McCullers Jr.,McCullers Jr., Lance,621121,R,CH,Changeup,Changeup,383,380,13.7,85.8,1682,18.5,94,0.9518105989607758,0.9407127377791452,99.77129743465798,83.32191743886618,16.4493799957918,16.44937999579182,0.6,2,75,0.183,0.282,0.239,38.5,32.0,24.0,0.203,0.272,0.233,29.8,-30,2,45,3,15,0,30,2:45,3:15,-0H 30M,HOU,19.603729603729604
495,McGee,McGee, Jake,459429,L,FF,4-Seamer,4-Seam Fastball,791,747,90.1,94.9,2144,19.1,98,0.9185948056262512,0.9762889985293302,223.46148302477752,219.22050890840927,4.24097411636825,4.240974116368252,-1.1,-8,215,0.194,0.333,0.263,18.9,22.8,18.4,0.219,0.396,0.28,49.0,-15,10,30,10,45,0,15,10:30,10:45,-0H 15M,SF,22.592202318229713
496,McGowin,McGowin, Kyle,641851,R,SL,Slider,Slider,355,350,68.7,81.1,2727,10.7,45,0.4368282939373004,0.4474953642671005,291.90631733749905,279.07585328973926,12.83046404775979,12.830464047759838,0.2,1,88,0.169,0.386,0.268,31.0,30.7,23.5,0.187,0.34,0.249,33.9,-30,8,15,8,45,0,30,8:15,8:45,-0H 30M,WSH,33.62515413070284
497,McHugh,McHugh, Collin,543521,R,SL,Slider,Slider,514,513,52.9,79.5,2790,20.0,59,0.8053652311162567,0.5888815593356447,302.93661224618927,278.2274383670409,24.709173879148352,24.709173879148366,-2.5,-13,150,0.177,0.262,0.223,30.8,32.7,22.7,0.179,0.26,0.219,23.9,-45,8,0,8,45,0,45,8:00,8:45,-0H 45M,TB,35.094339622641506
498,McHugh,McHugh, Collin,543521,R,FC,Cutter,Cutter,321,320,33.0,87.5,2501,7.3,36,0.3207332742377338,0.3607325932916415,170.40050953896912,205.3294061235643,-34.92889658459518,34.928896584595165,-1.3,-4,64,0.29,0.355,0.29,31.7,17.2,25.0,0.267,0.347,0.271,38.5,60,12,15,11,15,1,0,12:15,11:15,+1H 00M,TB,28.582857142857144
499,McKenzie,McKenzie, Triston,663474,R,FF,4-Seamer,4-Seam Fastball,1216,1216,61.6,92.1,2256,19.6,97,0.9246850391510204,0.971907672226342,166.7702300752114,169.68897069852076,-2.918740623309361,2.9187406233093576,0.5,6,322,0.227,0.465,0.359,19.2,19.9,18.9,0.259,0.471,0.365,44.3,15,12,30,12,15,0,15,12:30,12:15,+0H 15M,CLE,24.495114006514658
500,McKenzie,McKenzie, Triston,663474,R,SL,Slider,Slider,378,378,19.1,86.4,2162,6.8,42,0.3195750714761864,0.4228051764338643,197.84687753946687,235.917011369571,-38.07013383010411,38.07013383010414,-0.1,-1,85,0.132,0.289,0.232,44.2,30.6,23.0,0.222,0.429,0.319,38.0,75,11,30,10,15,1,15,11:30,10:15,+1H 15M,CLE,25.023148148148145
501,Means,Means, John,607644,L,CH,Changeup,Changeup,635,635,27.3,83.4,2256,20.9,98,0.9267716937069492,0.9810228275943846,225.71692935922425,220.4915807706413,5.225348588582904,5.225348588582898,-0.3,-2,216,0.227,0.44,0.297,30.0,21.8,22.1,0.225,0.399,0.28,28.6,-15,10,30,10,45,0,15,10:30,10:45,-0H 15M,BAL,27.050359712230215
502,Means,Means, John,607644,L,FF,4-Seamer,4-Seam Fastball,1117,1113,48.0,92.8,2399,20.7,97,0.9380774679482384,0.972077236191712,202.5538606133904,199.68121004989808,2.8726505634923,2.8726505634922748,0.1,1,239,0.232,0.505,0.341,21.2,20.9,14.9,0.264,0.561,0.37,51.2,0,11,15,11,15,0,0,11:15,11:15, 0H 00M,BAL,25.851293103448278
503,Mears,Mears, Nick,683232,R,FF,4-Seamer,4-Seam Fastball,290,290,64.2,95.6,2184,18.9,97,0.9317375744630711,0.9745905996865144,162.96325871060492,167.93504561361772,-4.971786903012799,4.971786903012792,-0.1,0,70,0.246,0.439,0.357,26.7,18.6,16.9,0.254,0.436,0.37,33.3,0,12,30,12,30,0,0,12:30,12:30, 0H 00M,PIT,22.84518828451883
504,Megill,Megill, Tylor,656731,R,SL,Slider,Slider,288,286,18.5,85.7,2127,3.9,22,0.184670393184866,0.2230031610586992,201.8586204376633,235.8398879604873,-33.981267522824055,33.981267522824055,-0.4,-1,82,0.241,0.342,0.27,31.5,32.9,21.8,0.176,0.302,0.222,30.8,60,11,15,10,15,1,0,11:15,10:15,+1H 00M,NYM,24.81913652275379
505,Megill,Megill, Trevor,656730,R,FF,4-Seamer,4-Seam Fastball,291,290,63.3,96.3,2426,16.6,83,0.7896093209859222,0.8323590373552386,161.5854720646073,162.79973362433293,-1.214261559725628,1.214261559725622,3.2,9,71,0.364,0.636,0.455,19.2,18.3,17.6,0.321,0.596,0.404,48.1,0,12,30,12,30,0,0,12:30,12:30, 0H 00M,CHC,25.192107995846314
