,last_name_x,last_name_y, first_name_x,player_id,pitch_hand,pitch_type,pitch_name_x,pitch_name_y,pitches,n_pitches,pitch_usage,release_speed,spin_rate,movement_inches,spin_eff%,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,diff_measured_inferred,diff2,run_value_per_100,run_value,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label,team_name_alt,bauer_units
0,Abreu,Abreu, Bryan,650556,R,SL,Slider,Slider,256,256,37.2,88.9,2526,6.2,32,0.2694586223935681,0.3247686313582881,316.25770197168987,314.73458424541286,1.5231177262770077,1.5231177262770066,1.9,5,63,0.246,0.456,0.338,38.0,28.6,22.5,0.253,0.423,0.332,45.0,0,7,30,7,30,0,0,7:30,7:30, 0H 00M,HOU,28.41394825646794
1,Abreu,Abreu, Bryan,650556,R,FF,4-Seamer,4-Seam Fastball,310,308,45.0,95.7,2216,18.6,93,0.8812735863272737,0.9252140734058606,149.99529284818854,153.03237226004546,-3.037079411856922,3.0370794118569107,-0.1,0,66,0.273,0.418,0.379,23.9,12.1,11.4,0.274,0.428,0.367,34.0,0,1,0,1,0,0,0,1:00,1:00, 0H 00M,HOU,23.15569487983281
2,Adams,Adams, Austin,613534,R,SL,Slider,Slider,838,805,87.1,86.9,2837,10.8,37,0.4562569334288421,0.3709528733669506,291.6640553817938,273.33767517077223,18.32638021102156,18.326380211021576,-0.8,-7,217,0.145,0.208,0.288,35.3,33.2,28.7,0.158,0.256,0.307,23.7,-45,8,15,9,0,0,45,8:15,9:00,-0H 45M,SD,32.64672036823935
3,Akin,Akin, Keegan,669211,L,CH,Changeup,Changeup,344,341,19.5,81.9,1936,17.4,95,0.8305590238383965,0.9531927548916218,236.4071902774816,246.98673903276563,-10.579548755284064,10.579548755284078,2.8,9,100,0.333,0.494,0.405,29.1,16.0,17.6,0.248,0.425,0.334,38.9,15,10,0,9,45,0,15,10:00,9:45,+0H 15M,BAL,23.638583638583636
4,Akin,Akin, Keegan,669211,L,FF,4-Seamer,4-Seam Fastball,1011,1009,57.2,92.0,2337,20.7,97,0.955158685851306,0.9691710524672243,216.4806061210885,212.7945204755154,3.686085645573087,3.6860856455730735,-0.6,-6,231,0.25,0.451,0.331,20.0,22.1,14.2,0.253,0.487,0.353,43.9,-15,10,45,11,0,0,15,10:45,11:00,-0H 15M,BAL,25.402173913043477
5,Akin,Akin, Keegan,669211,L,SL,Slider,Slider,344,342,19.5,84.2,2219,5.9,29,0.2684541535849127,0.2898380801146832,143.05880304756425,111.49203752223644,31.566765525327824,31.56676552532784,3.6,12,79,0.347,0.611,0.43,21.9,16.5,11.5,0.307,0.495,0.371,48.3,-60,1,15,2,15,1,0,1:15,2:15,-1H 00M,BAL,26.353919239904986
6,Alcala,Alcala, Jorge,660896,R,SL,Slider,Slider,354,353,40.7,89.7,2435,5.4,30,0.2438295128008207,0.2987663715218557,184.53127364739063,224.43275713355055,-39.90148348615992,39.90148348615991,-2.4,-9,100,0.181,0.277,0.223,31.9,31.0,25.8,0.198,0.31,0.245,32.8,75,11,45,10,30,1,15,11:45,10:30,+1H 15M,MIN,27.14604236343367
7,Alcala,Alcala, Jorge,660896,R,FF,4-Seamer,4-Seam Fastball,318,318,36.6,97.4,2346,19.1,96,0.9079539995496488,0.9562835350115444,139.9980817946636,144.3607762553077,-4.362694460644121,4.362694460644132,-0.4,-1,79,0.229,0.457,0.322,26.4,21.5,18.7,0.244,0.502,0.344,43.6,0,1,15,1,15,0,0,1:15,1:15, 0H 00M,MIN,24.08624229979466
8,Alcantara,Alcantara, Sandy,645261,R,FF,4-Seamer,4-Seam Fastball,668,667,21.6,98.1,2239,17.2,91,0.8360559382854782,0.9057865703016772,131.72295542952753,139.75311801299375,-8.030162583466222,8.030162583466227,0.6,4,170,0.234,0.399,0.309,23.3,25.9,17.1,0.24,0.417,0.305,44.3,15,1,30,1,15,0,15,1:30,1:15,+0H 15M,MIA,22.823649337410806
9,Alcantara,Alcantara, Sandy,645261,R,SL,Slider,Slider,746,743,24.1,90.4,2359,3.8,18,0.1748251806628216,0.1837856531928861,176.86706202953377,160.08202768728253,16.785034342251237,16.785034342251226,-0.2,-1,200,0.189,0.335,0.268,38.3,32.0,27.7,0.186,0.31,0.244,39.0,-45,12,0,12,45,0,45,12:00,12:45,-0H 45M,MIA,26.09513274336283
10,Alcantara,Alcantara, Sandy,645261,R,CH,Changeup,Changeup,728,689,23.5,91.8,2009,17.0,88,0.8447511377730037,0.8794161696906325,126.70401442294896,97.13982480325453,29.56418961969445,29.56418961969444,-0.7,-5,233,0.229,0.346,0.285,30.8,28.8,23.1,0.235,0.362,0.289,37.8,-60,1,45,2,45,1,0,1:45,2:45,-1H 00M,MIA,21.884531590413943
11,Alexander,Alexander, Tyler,641302,L,CH,Changeup,Changeup,301,297,18.4,83.7,1462,15.4,94,0.8633309836555139,0.9399123417118156,228.04800919833988,245.4564269025695,-17.408417704229606,17.408417704229603,0.1,0,83,0.305,0.415,0.33,26.5,22.9,19.6,0.278,0.387,0.294,42.9,45,10,30,9,45,0,45,10:30,9:45,+0H 45M,DET,17.467144563918758
12,Alexander,Alexander, Tyler,641302,L,FC,Cutter,Cutter,581,578,35.4,86.2,2336,8.8,46,0.4019060168569381,0.4588843434877237,184.30455462309132,150.4257276890356,33.87882693405575,33.878826934055745,-0.4,-2,157,0.239,0.437,0.319,18.4,19.1,19.4,0.23,0.391,0.292,30.4,-75,11,45,1,0,1,15,11:45,1:00,-1H 15M,DET,27.099767981438514
13,Alexander,Alexander, Tyler,641302,L,FF,4-Seamer,4-Seam Fastball,247,243,15.1,90.5,2188,17.4,90,0.830024117581161,0.9025445189098428,212.38837927804872,205.1526557439991,7.235723534049612,7.235723534049628,0.0,0,79,0.257,0.432,0.332,16.9,19.0,16.1,0.252,0.524,0.348,44.1,-15,11,0,11,15,0,15,11:00,11:15,-0H 15M,DET,24.176795580110497
14,Alexy,Alexy, A.J.,669935,R,FF,4-Seamer,4-Seam Fastball,231,231,54.5,93.3,2218,19.3,94,0.9176047880683824,0.9391319251810544,161.2059639708781,166.95742121687087,-5.751457245992782,5.751457245992756,-1.0,-2,57,0.114,0.273,0.271,16.4,14.0,12.3,0.282,0.508,0.406,37.8,15,12,45,12,30,0,15,12:45,12:30,+0H 15M,TEX,23.772775991425508
15,Allard,Allard, Kolby,663465,L,CH,Changeup,Changeup,346,344,16.8,83.6,1602,17.3,99,0.9128847188273012,0.9899714629013806,234.484395151768,239.85307135074584,-5.368676198977823,5.3686761989778695,1.3,4,87,0.284,0.432,0.33,24.8,12.6,14.7,0.281,0.457,0.349,31.9,15,10,15,10,0,0,15,10:15,10:00,+0H 15M,TEX,19.16267942583732
16,Allard,Allard, Kolby,663465,L,FC,Cutter,Cutter,509,508,24.8,86.3,2197,5.8,47,0.2688109878729945,0.4683056137133681,179.77107579489342,151.62051936862073,28.150556426272686,28.150556426272683,1.1,6,135,0.295,0.533,0.393,19.0,11.1,11.2,0.295,0.542,0.382,38.9,-60,12,0,1,0,1,0,12:00,1:00,-1H 00M,TEX,25.457705677867903
17,Allard,Allard, Kolby,663465,L,FF,4-Seamer,4-Seam Fastball,964,958,46.9,91.5,2121,18.3,96,0.8809258673896456,0.9573969100434148,212.09322751859355,206.57233350916368,5.520894009429895,5.520894009429873,0.0,0,264,0.229,0.445,0.319,18.7,24.2,21.1,0.254,0.47,0.334,42.5,0,11,0,11,0,0,0,11:00,11:00, 0H 00M,TEX,23.18032786885246
18,Allen,Allen, Logan,663531,L,FF,4-Seamer,4-Seam Fastball,368,368,42.1,92.7,1992,16.5,93,0.8205465871228397,0.9274490567589784,215.90899478095815,205.8415726536817,10.067422127276473,10.067422127276505,2.5,9,109,0.326,0.611,0.432,11.3,12.8,13.9,0.347,0.647,0.45,53.0,-30,10,45,11,15,0,30,10:45,11:15,-0H 30M,CLE,21.488673139158575
19,Allen,Allen, Logan,663531,L,SL,Slider,Slider,276,276,31.6,81.7,2537,14.1,40,0.6012198499083652,0.3965686076612756,59.89731908137705,80.72842515460007,-20.831106073223022,20.83110607322302,-0.5,-1,71,0.25,0.375,0.313,26.9,26.8,18.1,0.224,0.391,0.303,37.8,45,4,0,3,15,0,45,4:00,3:15,+0H 45M,CLE,31.052631578947366
20,Almonte,Almonte, Yency,622075,R,FF,4-Seamer,4-Seam Fastball,395,391,45.4,94.2,2094,12.9,84,0.694385262786165,0.8443805085652047,133.65879133570792,145.60562726969656,-11.946835933988638,11.946835933988636,0.3,1,96,0.263,0.463,0.374,10.9,10.4,13.3,0.284,0.518,0.4,45.7,15,1,30,1,15,0,15,1:30,1:15,+0H 15M,COL,22.229299363057326
21,Almonte,Almonte, Yency,622075,R,SL,Slider,Slider,357,355,41.0,83.7,2332,8.7,39,0.4303398699979757,0.394698399653488,261.5241848447995,276.45448618145014,-14.930301336650643,14.930301336650604,2.5,9,89,0.243,0.446,0.355,41.4,34.8,26.3,0.234,0.387,0.333,26.1,30,9,15,8,45,0,30,9:15,8:45,+0H 30M,COL,27.861409796893668
22,Alzolay,Alzolay, Adbert,640470,R,SL,Slider,Slider,778,769,39.8,86.2,2615,8.3,38,0.3589710645301495,0.3775131909608997,223.13095747465348,257.51932927817074,-34.38837180351726,34.38837180351724,-1.1,-8,216,0.181,0.317,0.253,37.4,36.1,25.3,0.186,0.334,0.256,30.9,60,10,30,9,30,1,0,10:30,9:30,+1H 00M,CHC,30.33642691415313
23,Alzolay,Alzolay, Adbert,640470,R,FF,4-Seamer,4-Seam Fastball,361,361,18.5,94.0,2295,18.2,92,0.857730000571725,0.9210697402419712,145.0480418949453,153.45767301784366,-8.409631122898361,8.409631122898364,0.9,3,67,0.267,0.65,0.408,26.8,23.9,17.8,0.311,0.603,0.412,55.6,15,1,15,1,0,0,15,1:15,1:00,+0H 15M,CHC,24.414893617021278
24,Anderson,Anderson, Tyler,542881,L,FF,4-Seamer,4-Seam Fastball,948,945,36.4,90.6,2294,20.0,98,0.9289590330966236,0.9826830834540292,210.57101056211707,207.76299471202503,2.8080158500920334,2.808015850092029,0.1,1,237,0.257,0.456,0.341,21.9,22.8,16.7,0.261,0.472,0.35,37.0,0,11,0,11,0,0,0,11:00,11:00, 0H 00M,SEA,25.320088300220753
25,Anderson,Anderson, Chase,502624,R,CH,Changeup,Changeup,250,250,29.3,81.9,2163,21.8,100,0.9888806243831272,0.9962057770116874,130.28228803300678,127.03037684146506,3.2519111915417227,3.2519111915417294,-1.1,-3,79,0.197,0.296,0.26,27.0,20.3,17.2,0.198,0.274,0.25,25.0,0,1,45,1,45,0,0,1:45,1:45, 0H 00M,PHI,26.41025641025641
26,Anderson,Anderson, Ian,666120,R,FF,4-Seamer,4-Seam Fastball,1025,1020,47.1,94.6,2044,17.8,100,0.9041762930144672,0.9964834824624988,157.42400937791442,161.60007369513272,-4.176064317218305,4.176064317218324,-1.2,-12,246,0.216,0.349,0.287,21.1,21.1,19.0,0.242,0.409,0.319,40.6,15,12,45,12,30,0,15,12:45,12:30,+0H 15M,ATL,21.606765327695562
27,Anderson,Anderson, Ian,666120,R,CH,Changeup,Changeup,684,679,31.4,88.1,1646,15.4,99,0.8365259990339126,0.98581767882872,143.70455827364538,135.94156760469724,7.7629906689481345,7.762990668948142,-0.7,-4,197,0.197,0.37,0.298,34.9,25.9,22.0,0.218,0.414,0.319,31.7,-15,1,15,1,30,0,15,1:15,1:30,-0H 15M,ATL,18.683314415437003
28,Anderson,Anderson, Tyler,542881,L,FC,Cutter,Cutter,702,701,27.0,85.0,2487,9.2,47,0.4058599847232342,0.4666684821591901,194.53841493443787,163.11434311335964,31.42407182107823,31.42407182107825,-0.3,-2,220,0.248,0.405,0.303,22.6,23.2,21.5,0.245,0.368,0.281,28.0,-60,11,30,12,30,1,0,11:30,12:30,-1H 00M,SEA,29.258823529411764
29,Anderson,Anderson, Shaun,641312,R,SL,Slider,Slider,265,264,60.6,86.8,2767,7.5,37,0.3213312190839716,0.3663345604560429,246.4831702771849,270.1154209808683,-23.632250703683354,23.632250703683315,2.2,6,72,0.328,0.422,0.397,29.0,13.9,18.2,0.262,0.374,0.312,41.8,45,9,45,9,0,0,45,9:45,9:00,+0H 45M,SD,31.877880184331797
30,Anderson,Anderson, Chase,502624,R,FF,4-Seamer,4-Seam Fastball,276,274,32.4,91.5,2125,18.1,94,0.8786519818294336,0.9422154207477488,159.40597370449822,159.3616928698724,0.0442808346258232,0.0442808346258166,2.2,6,66,0.286,0.732,0.476,23.0,12.1,9.4,0.304,0.709,0.464,43.8,0,12,45,12,45,0,0,12:45,12:45, 0H 00M,PHI,23.224043715846996
31,Anderson,Anderson, Brett,474463,L,CH,Changeup,Changeup,387,360,25.7,82.2,1435,15.9,94,0.8876453319183834,0.9405403862165508,226.8244618796531,247.79575302866783,-20.971291149014743,20.971291149014743,-1.9,-8,121,0.188,0.268,0.23,19.3,13.2,20.5,0.251,0.332,0.288,35.0,45,10,30,9,45,0,45,10:30,9:45,+0H 45M,MIL,17.45742092457421
32,Anderson,Anderson, Tyler,542881,L,CH,Changeup,Changeup,641,636,24.6,80.9,1833,18.4,97,0.8976906892139705,0.9727780105324142,232.4172195811694,227.71976489496737,4.697454686202036,4.69745468620205,0.6,4,168,0.25,0.487,0.326,28.7,14.3,12.4,0.251,0.424,0.298,30.7,-15,10,15,10,30,0,15,10:15,10:30,-0H 15M,SEA,22.657601977750307
33,Andriese,Andriese, Matt,542882,R,CH,Changeup,Changeup,290,287,33.9,86.0,2201,4.9,24,0.2234492348155399,0.2430470209391909,96.98020275503777,84.18591853851468,12.79428421652308,12.794284216523078,1.6,5,88,0.305,0.366,0.33,25.2,25.0,20.4,0.275,0.35,0.298,42.6,-30,2,45,3,15,0,30,2:45,3:15,-0H 30M,SEA,25.593023255813954
34,Andriese,Andriese, Matt,542882,R,FF,4-Seamer,4-Seam Fastball,375,373,43.9,92.0,2340,18.3,85,0.836382314272179,0.8530380894520833,146.1042108968123,156.96018677926315,-10.85597588245085,10.855975882450853,1.1,4,98,0.326,0.581,0.407,23.8,25.5,20.2,0.277,0.522,0.36,45.3,30,1,15,12,45,0,30,1:15,12:45,+0H 30M,SEA,25.434782608695652
35,Armstrong,Armstrong, Shawn,542888,R,FC,Cutter,Cutter,225,219,32.8,89.3,2659,8.8,44,0.3762057364239687,0.4387394713148876,219.3936784301816,246.2358603454352,-26.842181915253576,26.8421819152536,2.4,5,60,0.296,0.574,0.392,33.1,18.3,19.6,0.271,0.497,0.363,41.9,60,10,45,9,45,1,0,10:45,9:45,+1H 00M,TB,29.77603583426652
36,Armstrong,Armstrong, Shawn,542888,R,FF,4-Seamer,4-Seam Fastball,379,376,55.3,93.9,2460,16.2,77,0.7293942723982797,0.7666005483096743,158.467263137206,166.67375036107492,-8.206487223868919,8.206487223868912,0.0,0,85,0.203,0.365,0.302,32.8,31.8,21.6,0.188,0.375,0.288,41.7,15,12,45,12,30,0,15,12:45,12:30,+0H 15M,TB,26.19808306709265
37,Arrieta,Arrieta, Jake,453562,R,SL,Slider,Slider,415,413,23.8,88.3,2277,7.3,43,0.3359973948620173,0.4287042954497578,178.48837565139056,215.57302774544564,-37.08465209405509,37.0846520940551,1.2,5,116,0.26,0.54,0.379,21.1,25.0,21.8,0.278,0.529,0.378,44.6,75,12,0,10,45,1,15,12:00,10:45,+1H 15M,SD,25.78708946772367
38,Banda,Banda, Anthony,607455,L,CH,Changeup,Changeup,227,227,37.2,86.2,1780,16.7,96,0.8534745534818813,0.9606059191803265,247.9464265428244,252.7908397349416,-4.844413192117173,4.844413192117182,-0.4,-1,59,0.255,0.4,0.325,28.8,13.6,12.5,0.207,0.312,0.253,31.9,15,9,45,9,30,0,15,9:45,9:30,+0H 15M,PIT,20.649651972157773
39,Banda,Banda, Anthony,607455,L,FF,4-Seamer,4-Seam Fastball,292,292,47.9,94.1,2109,19.1,100,0.9440398849123108,0.9957964920224562,220.55511843909449,217.992989175976,2.562129263118493,2.5621292631184773,0.3,1,73,0.313,0.578,0.398,22.4,27.4,23.3,0.256,0.436,0.329,47.8,0,10,45,10,45,0,0,10:45,10:45, 0H 00M,PIT,22.412327311370884
40,Baragar,Baragar, Caleb,670056,L,FF,4-Seamer,4-Seam Fastball,290,283,81.0,92.8,2359,21.6,99,0.99724953343655,0.9935629088764456,207.91340535675468,204.4115308109412,3.501874545813479,3.50187454581348,-1.1,-3,79,0.269,0.403,0.334,20.8,13.9,14.9,0.241,0.445,0.337,43.1,-15,11,0,11,15,0,15,11:00,11:15,-0H 15M,SF,25.420258620689655
41,Bard,Bard, Daniel,453268,R,FF,4-Seamer,4-Seam Fastball,424,419,34.8,97.4,2727,13.6,75,0.6764542264886739,0.7522376804722484,136.11292161072177,132.68903980292478,3.423881807796988,3.423881807796991,0.6,3,103,0.337,0.518,0.433,23.4,21.4,16.9,0.258,0.418,0.368,44.3,0,1,30,1,30,0,0,1:30,1:30, 0H 00M,COL,27.99794661190965
42,Bard,Bard, Daniel,453268,R,SL,Slider,Slider,561,522,46.1,87.0,2916,10.0,45,0.4571301000685848,0.4462605314049342,261.17703748833526,261.2906377983472,-0.1136003100119182,0.1136003100119501,-1.3,-7,140,0.165,0.315,0.259,40.8,39.3,30.1,0.182,0.276,0.239,34.2,0,9,15,9,15,0,0,9:15,9:15, 0H 00M,COL,33.51724137931034
43,Barlow,Barlow, Scott,605130,R,FF,4-Seamer,4-Seam Fastball,405,405,33.1,95.3,2306,14.8,77,0.7028374899166782,0.7720823735823429,150.88261637420084,158.631225072992,-7.748608698791173,7.748608698791189,-0.1,0,103,0.275,0.396,0.338,16.8,11.7,15.8,0.285,0.483,0.37,49.4,15,1,0,12,45,0,15,1:00,12:45,+0H 15M,KC,24.197271773347325
44,Barlow,Barlow, Scott,605130,R,SL,Slider,Slider,567,563,46.4,85.0,2420,8.7,46,0.387994792435521,0.4566756945741755,263.2538957581007,288.20987704046047,-24.955981282359744,24.95598128235976,-0.9,-5,135,0.217,0.333,0.296,44.2,33.3,27.1,0.202,0.337,0.277,27.6,45,9,15,8,30,0,45,9:15,8:30,+0H 45M,KC,28.470588235294116
45,Barlow,Barlow, Joe,669618,R,FF,4-Seamer,4-Seam Fastball,205,205,45.1,94.5,2256,19.6,97,0.931948606844199,0.9660941316978215,161.2564072780278,163.6927862557056,-2.436378977677805,2.436378977677809,-1.4,-3,56,0.16,0.32,0.26,17.9,17.9,16.9,0.231,0.421,0.32,37.5,0,12,30,12,30,0,0,12:30,12:30, 0H 00M,TEX,23.873015873015873
46,Barnes,Barnes, Matt,598264,R,FF,4-Seamer,4-Seam Fastball,458,457,49.8,95.8,2276,20.4,100,0.9517807719242376,0.9971379230185444,141.9554933034761,145.99249827064867,-4.037004967172578,4.037004967172595,1.2,6,121,0.24,0.481,0.361,26.0,27.3,21.7,0.189,0.403,0.306,40.3,0,1,15,1,15,0,0,1:15,1:15, 0H 00M,BOS,23.75782881002088
47,Barnes,Barnes, Jacob,606930,R,FC,Cutter,Cutter,217,214,38.1,88.6,2315,8.8,45,0.4027561364358872,0.4472760821710271,199.6092832085588,229.8902987617435,-30.281015553184687,30.2810155531847,2.2,5,55,0.24,0.48,0.355,35.0,29.1,21.6,0.241,0.433,0.323,41.2,60,11,15,10,15,1,0,11:15,10:15,+1H 00M,TOR,26.128668171557564
48,Barnes,Barnes, Jacob,606930,R,FF,4-Seamer,4-Seam Fastball,313,313,54.9,94.7,2394,18.4,87,0.8491112868121944,0.8680533496682834,162.32216937276442,171.24959500635308,-8.927425633588655,8.927425633588657,-0.7,-2,65,0.276,0.466,0.367,21.6,20.0,14.8,0.221,0.427,0.312,37.0,15,12,30,12,15,0,15,12:30,12:15,+0H 15M,TOR,25.279831045406546
49,Barría,Barría, Jaime,642545,R,SL,Slider,Slider,338,333,36.9,85.8,2187,6.5,35,0.3024658098042923,0.3494768593520904,204.43454637487537,210.2199611755064,-5.785414800631003,5.785414800630982,0.4,1,94,0.272,0.494,0.387,25.7,16.0,17.0,0.243,0.427,0.342,30.3,15,11,15,11,0,0,15,11:15,11:00,+0H 15M,LAA,25.48951048951049
50,Barría,Barría, Jaime,642545,R,FF,4-Seamer,4-Seam Fastball,321,318,35.0,93.2,2308,16.6,87,0.7813177091614024,0.8670739608015517,168.14529619687048,163.89406165399265,4.251234542877825,4.2512345428778175,0.5,1,105,0.303,0.424,0.347,13.8,15.2,13.6,0.315,0.479,0.36,56.6,0,12,30,12,30,0,0,12:30,12:30, 0H 00M,LAA,24.763948497854077
51,Bass,Bass, Anthony,542914,R,SL,Slider,Slider,479,479,49.9,85.9,2194,6.8,37,0.3110631139246092,0.3673726167503769,275.38038709751856,313.7768486710686,-38.39646157355003,38.39646157355006,-0.3,-2,117,0.182,0.345,0.257,39.7,35.9,26.1,0.178,0.346,0.241,28.6,75,8,45,7,30,1,15,8:45,7:30,+1H 15M,MIA,25.541327124563445
52,Bassitt,Bassitt, Chris,605135,R,SL,Slider,Slider,241,241,10.1,76.9,2333,16.7,68,0.7051500397126524,0.6751219132234055,280.6621552775256,273.6121368090185,7.050018468507062,7.050018468507043,-1.5,-4,78,0.153,0.278,0.222,38.7,41.0,27.1,0.128,0.198,0.183,12.5,-15,8,45,9,0,0,15,8:45,9:00,-0H 15M,OAK,30.338101430429127
53,Bassitt,Bassitt, Chris,605135,R,FC,Cutter,Cutter,436,435,18.3,88.8,2221,9.0,50,0.4136520059012279,0.4976316842948763,164.93621932218875,187.00374996724,-22.06753064505125,22.067530645051253,-0.5,-2,89,0.31,0.512,0.371,22.9,13.5,22.6,0.296,0.554,0.377,41.7,45,12,30,11,45,0,45,12:30,11:45,+0H 45M,OAK,25.01126126126126
54,Bassitt,Bassitt, Chris,605135,R,FF,4-Seamer,4-Seam Fastball,457,454,19.2,93.3,2172,16.1,84,0.7621041959340018,0.8373967004187836,142.8042954551462,149.87016667911053,-7.065871223964336,7.065871223964336,-1.4,-6,147,0.185,0.281,0.228,26.7,37.4,20.2,0.173,0.263,0.22,33.7,15,1,15,1,0,0,15,1:15,1:00,+0H 15M,OAK,23.279742765273312
55,Bauer,Bauer, Trevor,545333,R,SL,Slider,Slider,332,287,18.6,80.8,2971,18.8,60,0.7532332520116996,0.6015042386039919,307.4018142594137,284.1918958291086,23.20991843030509,23.209918430305144,-2.1,-7,75,0.114,0.243,0.186,41.2,37.3,22.0,0.132,0.26,0.201,26.2,-45,7,45,8,30,0,45,7:45,8:30,-0H 45M,LAD,36.76980198019802
56,Bauer,Bauer, Trevor,545333,R,FC,Cutter,Cutter,386,331,21.6,85.2,2873,6.1,27,0.2543184947057821,0.2684997520397111,263.4418818159414,279.000936995145,-15.559055179203654,15.559055179203702,0.5,2,75,0.284,0.582,0.425,32.4,22.7,23.9,0.207,0.38,0.294,32.7,30,9,15,8,45,0,30,9:15,8:45,+0H 30M,LAD,33.720657276995304
57,Bauer,Bauer, Trevor,545333,R,FF,4-Seamer,4-Seam Fastball,723,631,40.5,93.9,2776,22.2,93,0.95961597464517,0.934725285649368,151.81279465359754,152.36062719880672,-0.5478325452091894,0.5478325452092041,-1.9,-14,178,0.175,0.364,0.3,25.3,27.5,24.0,0.223,0.486,0.35,54.3,0,1,0,1,0,0,0,1:00,1:00, 0H 00M,LAD,29.56336528221512
58,Bednar,Bednar, David,670280,R,FF,4-Seamer,4-Seam Fastball,521,520,55.8,96.7,2290,18.6,97,0.8953874110226507,0.9709668569380052,145.10619910807813,149.9820099956599,-4.875810887581764,4.875810887581768,-1.7,-9,134,0.195,0.35,0.269,27.9,29.9,24.4,0.198,0.325,0.261,32.5,15,1,15,1,0,0,15,1:15,1:00,+0H 15M,PIT,23.681489141675282
59,Bedrosian,Bedrosian, Cam,592135,R,FF,4-Seamer,4-Seam Fastball,235,235,50.2,92.9,2261,18.7,93,0.8687070341110393,0.9290083848847156,164.7880144312673,167.3615012225274,-2.573486791260109,2.57348679126011,0.6,1,59,0.326,0.609,0.452,22.3,20.3,16.9,0.303,0.533,0.422,57.1,0,12,30,12,30,0,0,12:30,12:30, 0H 00M,PHI,24.33799784714747
60,Bender,Bender, Anthony,669622,R,SL,Slider,Slider,450,449,46.2,84.6,2485,10.7,59,0.4654794167908304,0.5936297944819382,296.2890524207778,294.11416009656745,2.174892324210361,2.174892324210293,-0.7,-3,117,0.162,0.314,0.273,45.2,43.6,31.3,0.148,0.245,0.209,26.3,-15,8,0,8,15,0,15,8:00,8:15,-0H 15M,MIA,29.373522458628845
61,Berríos,Berríos, José,621244,R,CH,Changeup,Changeup,402,392,13.2,84.8,1516,15.1,95,0.8298314975378033,0.9536820038579552,106.66859426088224,101.81376194945688,4.854832311425355,4.854832311425361,-1.0,-4,85,0.152,0.266,0.217,27.9,23.5,19.0,0.208,0.335,0.264,36.7,0,2,30,2,30,0,0,2:30,2:30, 0H 00M,TOR,17.87735849056604
62,Berríos,Berríos, José,621244,R,FF,4-Seamer,4-Seam Fastball,811,802,26.7,94.1,2231,17.3,92,0.8272591969926654,0.9196579279678524,139.33236969158784,143.11613202633612,-3.7837623347482743,3.7837623347482734,0.6,5,176,0.275,0.537,0.375,21.3,19.9,16.7,0.282,0.551,0.382,44.0,0,1,15,1,15,0,0,1:15,1:15, 0H 00M,TOR,23.70882040382572
63,Bickford,Bickford, Phil,641360,R,SL,Slider,Slider,274,272,35.3,84.0,2324,7.1,44,0.3207749457104007,0.4384936590987949,261.49625859715195,273.244383330394,-11.748124733242037,11.748124733242069,-2.1,-6,73,0.203,0.304,0.258,33.1,28.8,23.1,0.183,0.256,0.218,31.3,15,9,15,9,0,0,15,9:15,9:00,+0H 15M,LAD,27.666666666666668
64,Bickford,Bickford, Phil,641360,R,FF,4-Seamer,4-Seam Fastball,498,498,64.2,93.9,2344,16.7,86,0.788949592080533,0.8618137766453579,155.07936870726192,165.7229730881186,-10.643604380856686,10.643604380856692,-2.2,-11,127,0.193,0.377,0.279,27.5,29.9,26.6,0.227,0.425,0.309,44.9,15,12,45,12,30,0,15,12:45,12:30,+0H 15M,LAD,24.962726304579338
65,Bieber,Bieber, Shane,669456,R,FF,4-Seamer,4-Seam Fastball,551,545,35.3,92.8,2335,20.6,97,0.9461515143523525,0.9728164872909384,148.4448332151225,150.58596808227796,-2.141134867155472,2.141134867155464,-0.1,-1,140,0.272,0.48,0.36,22.8,33.6,29.4,0.232,0.422,0.321,56.4,0,1,0,1,0,0,0,1:00,1:00, 0H 00M,CLE,25.161637931034484
66,Bieber,Bieber, Shane,669456,R,SL,Slider,Slider,398,394,25.5,85.7,2683,3.4,17,0.1421436869200201,0.1679813330500379,254.7046385117896,265.01839934715554,-10.31376083536594,10.313760835365944,-2.0,-8,98,0.181,0.266,0.223,45.5,31.6,24.8,0.188,0.297,0.227,39.7,15,9,30,9,15,0,15,9:30,9:15,+0H 15M,CLE,31.306884480746792
67,Bielak,Bielak, Brandon,656232,R,FF,4-Seamer,4-Seam Fastball,335,335,40.1,94.0,2421,15.6,81,0.7093402886638726,0.8093089572170081,151.82958988978484,159.4066071500696,-7.577017260284748,7.577017260284762,-0.2,-1,78,0.295,0.393,0.37,23.8,17.9,13.6,0.26,0.395,0.353,50.0,15,1,0,12,45,0,15,1:00,12:45,+0H 15M,HOU,25.75531914893617
