last_name, first_name,player_id,team_name_alt,pitch_type,pitch_name,run_value_per_100,run_value,pitches,pitch_usage,pa,ba,slg,woba,whiff_percent,k_percent,put_away,est_ba,est_slg,est_woba,hard_hit_percent
deGrom, Jacob,594798,NYM,FF,4-Seamer,-2.1,-15,704,57.4,175,0.158,0.303,0.219,30,35.4,38,0.17,0.312,0.232,40.4
Rodón, Carlos,607074,CWS,SL,Slider,-2.3,-14,604,27.2,175,0.107,0.126,0.149,40.6,52,28.9,0.109,0.138,0.159,24.3
Tate, Dillon,622253,BAL,SIFT,Sinker,1.5,9,615,59,175,0.293,0.435,0.371,11.2,9.1,14.5,0.276,0.409,0.348,43.1
Foltynewicz, Mike,592314,TEX,SIFT,Sinker,1.1,5,486,21.7,175,0.263,0.494,0.361,7.8,10.9,15.1,0.269,0.452,0.336,37.8
Jax, Griffin,643377,MIN,FF,4-Seamer,0.2,2,641,46,174,0.268,0.569,0.386,12.8,10.9,11.6,0.275,0.616,0.406,50
Ross, Joe,605452,WSH,SL,Slider,-0.2,-1,532,31.3,173,0.194,0.333,0.262,32.2,31.8,26.8,0.205,0.333,0.245,31.3
Kopech, Michael,656629,CWS,FF,4-Seamer,-0.6,-5,726,62.9,173,0.212,0.397,0.313,31.7,34.1,29.4,0.196,0.368,0.29,45.7
Maeda, Kenta,628317,MIN,SL,Slider,-0.6,-4,652,36.7,173,0.232,0.424,0.337,32.4,23.1,18.9,0.195,0.327,0.282,27.9
Gray, Josiah,680686,WSH,FF,4-Seamer,1.3,8,626,51.6,172,0.282,0.62,0.423,17.8,14.5,15.2,0.27,0.606,0.409,41.5
Mize, Casey,663554,DET,SIFT,Sinker,0.8,4,540,22.9,172,0.322,0.572,0.419,13.1,7.6,17.1,0.315,0.565,0.411,42.1
Rogers, Trevor,669432,MIA,CH,Changeup,-0.9,-5,595,27.4,172,0.199,0.265,0.238,33.7,27.9,20.5,0.213,0.285,0.23,32.8
