year,last_name, first_name,player_id,pitch_hand,api_pitch_type,n_pitches,release_speed,spin_rate,movement_inches,alan_active_spin_pct,active_spin,hawkeye_measured,movement_inferred,api_pitch_name,active_spin_formatted,hawkeye_measured_clock_minutes,movement_inferred_clock_minutes,diff_measured_inferred,diff2,diff_measured_inferred_minutes,hawkeye_measured_clock_hh,hawkeye_measured_clock_mm,movement_inferred_clock_hh,movement_inferred_clock_mm,diff_clock_hh,diff_clock_mm,hawkeye_measured_clock_label,movement_inferred_clock_label,diff_clock_label
,Matz, Steven,571927,L,CU,425,77.6,2336,18.3,0.7883464989479503,0.8226795895863298,39.20931134932843,49.85182711559398,Curveball,82,285,255,-10.642515766265547,10.642515766265545,30,4,45,4,15,0,30,4:45,4:15,+0H 30M
,Plesac, Zach,668676,R,CU,241,80.2,1884,9,0.4275721199397607,0.6258332611584163,327.23872346732765,350.37078860373083,Curveball,63,420,375,-23.132065136403185,23.132065136403135,45,7,0,6,15,0,45,7:00,6:15,+0H 45M
,Civale, Aaron,650644,R,CU,307,77,2822,21,0.8458274916395592,0.789330376601351,325.4540862061983,332.63238122755854,Curveball,79,435,420,-7.1782950213602135,7.17829502136021,15,7,15,7,0,0,15,7:15,7:00,+0H 15M
,Flexen, Chris,623167,R,CU,430,77.2,2708,18,0.7251911669447683,0.7200200767251207,335.22907082956704,332.04878142802386,Curveball,72,405,420,3.1802894015431775,3.1802894015431487,-15,6,45,7,0,0,15,6:45,7:00,-0H 15M
,Kluber, Corey,446372,R,CU,389,81.9,2504,18,0.7563487694796531,0.5431672540602658,299.5316317626128,275.3009931331312,Curveball,54,480,525,24.230638629481575,24.23063862948159,-45,8,0,8,45,0,45,8:00,8:45,-0H 45M
,Bednar, David,670280,R,CU,219,77.5,2458,17.9,0.7620144675415426,0.7701769525861175,317.6429978026706,327.089890239469,Curveball,77,450,420,-9.446892436798407,9.446892436798398,30,7,30,7,0,0,30,7:30,7:00,+0H 30M
,Ryu, Hyun Jin,547943,L,CU,336,73.9,2512,20.8,0.8515394798319215,0.8351584709086067,40.47887016649719,36.04815843327506,Curveball,84,285,285,4.430711733222125,4.430711733222132,0,4,45,4,45,0,0,4:45,4:45, 0H 00M
,Anderson, Ian,666120,R,CU,458,80.7,1896,8.7,0.4232604863047913,0.641549124769913,329.4941457820036,353.97062466530423,Curveball,64,420,375,-24.476478883300615,24.476478883300615,45,7,0,6,15,0,45,7:00,6:15,+0H 45M
,Arrieta, Jake,453562,R,CU,268,80.4,2691,18,0.7540645992465564,0.7829802674291312,311.9966478888964,314.8820657617394,Curveball,78,450,450,-2.885417872842993,2.8854178728429694,0,7,30,7,30,0,0,7:30,7:30, 0H 00M
,Musgrove, Joe,605397,R,CU,683,82.1,2805,20.1,0.8169040559652123,0.7653915030280788,315.3778812179671,324.90447403707674,Curveball,77,450,435,-9.526592819109624,9.526592819109645,15,7,30,7,15,0,15,7:30,7:15,+0H 15M
,Lyles, Jordan,543475,R,CU,539,80.3,2618,18.9,0.7946605907252431,0.8004025033980618,332.972049363085,337.2263005880799,Curveball,80,420,405,-4.254251224994903,4.254251224994861,15,7,0,6,45,0,15,7:00,6:45,+0H 15M
,López, Jorge,605347,R,CU,512,81.9,2378,15.9,0.6924542274600572,0.7295136147200411,313.57795838309755,329.08383526880834,Curveball,73,450,420,-15.50587688571079,15.505876885710775,30,7,30,7,0,0,30,7:30,7:00,+0H 30M
,Suarez, José,660761,L,CU,365,78.3,2758,14.5,0.5862555931718572,0.5095744447512951,71.5530019630892,49.76276303125607,Curveball,51,210,255,21.79023893183313,21.790238931833134,-45,3,30,4,15,0,45,3:30,4:15,-0H 45M
