,player_name,p_throws,pitch_type,n_pitches,velo,pfx_x,pfx_z,RV,RV/100,xRV,xRV/100
0,"Abbott, Cory",R,FF,207.0,92.6,9.58,17.19,17.376,8.39,14.826,7.16
1,"Abreu, Albert",R,FF,103.0,97.8,11.69,15.42,2.765,2.68,3.7189999999999994,3.61
2,"Abreu, Bryan",R,FF,310.0,95.7,8.0,17.05,14.225,4.59,11.294,3.64
3,"Acevedo, Domingo",R,FF,88.0,92.9,12.23,15.09,6.004000000000001,6.820000000000001,5.375,6.11
4,"Adam, Jason",R,FF,125.0,93.8,7.03,16.76,7.372999999999999,5.9,5.128,4.1
5,"Adams, Austin",R,FF,124.0,94.1,8.72,9.04,5.4190000000000005,4.37,8.544,6.89
6,"Adon, Joan",R,FF,50.0,95.0,10.8,15.86,7.485,14.97,5.914,11.83
7,"Alcala, Jorge",R,FF,324.0,97.4,10.76,16.08,11.02,3.4,15.055999999999997,4.65
8,"Alcantara, Sandy",R,FF,668.0,98.1,10.6,13.76,5.536999999999999,0.83,9.968,1.49
9,"Alcántara, Sergio",R,FF,2.0,89.6,7.56,19.38,-0.17700000000000002,-8.85,-0.054000000000000006,-2.7
10,"Alexy, A.J.",R,FF,231.0,93.3,4.22,19.22,5.681000000000001,2.46,8.866,3.84
11,"Almonte, Yency",R,FF,393.0,94.2,7.09,11.26,24.385,6.2,28.848999999999997,7.34
12,"Altavilla, Dan",R,FF,11.0,96.1,12.11,15.52,-1.065,-9.68,-0.013000000000000012,-0.11999999999999998
13,"Alzolay, Adbert",R,FF,361.0,94.0,7.78,16.84,10.552,2.9199999999999995,11.29,3.1300000000000003
14,"Anderson, Chase",R,FF,275.0,91.5,6.14,17.59,16.877,6.14,22.28,8.1
15,"Anderson, Drew",R,FF,174.0,92.5,6.42,18.19,3.8160000000000007,2.19,6.916,3.9700000000000006
16,"Anderson, Ian",R,FF,1024.0,94.6,5.38,17.42,22.006,2.15,36.842,3.6
17,"Anderson, Nick",R,FF,68.0,93.0,5.02,18.25,3.164,4.65,3.422,5.03
18,"Anderson, Shaun",R,FF,144.0,93.2,-0.55,13.49,15.927,11.06,18.421,12.79
19,"Anderson, Tanner",R,FF,14.0,91.7,11.26,14.07,-0.886,-6.33,-0.18699999999999997,-1.34
20,"Andriese, Matt",R,FF,375.0,92.0,6.94,17.42,18.801,5.01,22.99,6.13
21,"Archer, Chris",R,FF,147.0,92.0,5.93,19.13,7.976000000000002,5.43,6.55,4.46
22,"Arihara, Kohei",R,FF,202.0,91.2,9.94,15.98,16.273,8.06,15.989,7.92
23,"Armstrong, Shawn",R,FF,378.0,93.8,3.58,16.25,4.847,1.28,11.676,3.09
24,"Avila, Pedro",R,FF,33.0,93.3,5.44,15.9,2.07,6.27,2.763,8.37
25,"Axford, John",R,FF,4.0,93.8,6.57,15.72,0.357,8.92,0.39999999999999997,10.0
26,"Baker, Bryan",R,FF,14.0,94.8,0.15,19.03,-0.62,-4.43,0.044999999999999984,0.32
27,"Bard, Daniel",R,FF,419.0,97.5,9.51,9.87,21.277,5.08,29.272,6.99
28,"Barlow, Joe",R,FF,205.0,94.5,5.21,19.3,3.822,1.86,8.712,4.25
29,"Barlow, Scott",R,FF,405.0,95.3,5.27,14.2,22.381,5.53,22.631,5.59
30,"Barnes, Jacob",R,FF,313.0,94.7,2.75,18.66,8.312000000000001,2.66,9.784,3.13
31,"Barnes, Matt",R,FF,458.0,95.8,10.9,17.46,16.097,3.51,14.458,3.16
32,"Barraclough, Kyle",R,FF,140.0,93.1,7.89,15.3,0.4650000000000001,0.33,3.075,2.2
33,"Barreda, Manny",R,FF,32.0,94.2,7.08,18.05,3.0980000000000003,9.68,1.6030000000000002,5.01
34,"Barría, Jaime",R,FF,320.0,93.2,4.44,16.54,15.004,4.69,18.718,5.85
35,"Bass, Anthony",R,FF,70.0,95.4,5.85,16.82,5.195,7.42,6.816,9.74
36,"Bassitt, Chris",R,FF,457.0,93.2,7.75,14.51,-14.760000000000002,-3.23,2.421,0.53
37,"Bauer, Trevor",R,FF,663.0,93.9,9.87,20.16,17.729000000000003,2.67,27.993000000000002,4.22
38,"Baumann, Mike",R,FF,103.0,93.6,3.34,18.05,7.243,7.03,7.265,7.05
39,"Baz, Shane",R,FF,108.0,97.0,9.75,18.12,1.019,0.94,0.131,0.12
40,"Bazardo, Eduard",R,FF,19.0,93.8,7.04,16.16,-0.2879999999999999,-1.52,0.6689999999999999,3.5199999999999996
41,"Beasley, Jeremy",R,FF,110.0,95.1,6.43,17.22,7.977,7.25,6.939,6.31
42,"Bednar, David",R,FF,520.0,96.7,8.94,16.56,7.302,1.4,6.144,1.18
43,"Bedrosian, Cam",R,FF,235.0,92.9,4.0,18.76,14.559000000000001,6.2,9.651,4.11
44,"Beede, Tyler",R,FF,13.0,95.9,8.55,11.84,2.0669999999999997,15.900000000000002,1.4860000000000002,11.43
45,"Bellatti, Andrew",R,FF,45.0,94.3,10.35,16.91,3.241,7.2,3.14,6.98
46,"Bender, Anthony",R,FF,12.0,97.4,6.47,13.43,-1.768,-14.729999999999999,-0.842,-7.02
47,"Berríos, José",R,FF,805.0,94.1,9.94,14.5,30.582000000000004,3.8,32.484,4.04
48,"Betances, Dellin",R,FF,12.0,91.8,5.41,16.04,1.6160000000000003,13.47,0.737,6.14
49,"Bettinger, Alec",R,FF,127.0,91.5,3.08,18.47,3.544,2.79,8.025,6.32
50,"Biagini, Joe",R,FF,9.0,92.6,2.61,18.11,-0.13999999999999999,-1.56,0.626,6.96
51,"Bickford, Phil",R,FF,498.0,93.9,3.99,16.61,10.866,2.18,18.776,3.77
52,"Bieber, Shane",R,FF,549.0,92.8,9.7,18.54,22.601,4.12,25.5,4.64
