,player_name,p_throws,pitch_type,FF_count,SI_count,FC_count,velo,pfx_x,pfx_z,arm_angle,release_extension,RV,RV/100,xRV,xRV/100,CU_count,SL_count,KC_count,CH_count,FS_count
34,"Anderson, Tanner",R,FF,14.0,0.0,0.0,91.2,12.53,7.33,37.82,5.89,-0.886,-6.33,0.07699999999999996,0.55,0.0,0.0,0.0,0.0,0.0
35,"Anderson, Tanner",R,SI,0.0,26.0,0.0,91.2,12.53,7.33,37.82,5.89,1.0559999999999998,4.06,1.9359999999999997,7.450000000000001,0.0,0.0,0.0,0.0,0.0
36,"Andriese, Matt",R,FC,0.0,0.0,44.0,91.2,6.84,15.12,37.87,5.95,4.495999999999999,10.22,5.554000000000001,12.619999999999997,0.0,0.0,0.0,0.0,0.0
37,"Andriese, Matt",R,FF,375.0,0.0,0.0,91.2,6.84,15.12,37.87,5.95,18.801,5.01,21.718,5.79,0.0,0.0,0.0,0.0,0.0
38,"Andriese, Matt",R,SI,0.0,38.0,0.0,91.2,6.84,15.12,37.87,5.95,1.4060000000000001,3.7,2.084,5.48,0.0,0.0,0.0,0.0,0.0
39,"Antone, Tejay",R,SI,0.0,170.0,0.0,96.8,11.47,15.59,34.6,6.47,5.969,3.51,8.342,4.91,0.0,0.0,0.0,0.0,0.0
40,"Archer, Chris",R,FF,147.0,0.0,0.0,92.0,5.93,19.13,16.3,6.37,7.976000000000002,5.43,9.183,6.25,0.0,0.0,0.0,0.0,0.0
41,"Arihara, Kohei",R,FC,0.0,0.0,89.0,90.0,9.5,13.24,42.79,6.66,10.571,11.88,9.642,10.83,0.0,0.0,0.0,0.0,0.0
42,"Arihara, Kohei",R,FF,202.0,0.0,0.0,90.0,9.5,13.24,42.79,6.66,16.273,8.06,15.18,7.51,0.0,0.0,0.0,0.0,0.0
43,"Arihara, Kohei",R,SI,0.0,109.0,0.0,90.0,9.5,13.24,42.79,6.66,5.934,5.44,7.402,6.79,0.0,0.0,0.0,0.0,0.0
44,"Armstrong, Shawn",R,FC,0.0,0.0,221.0,92.2,-0.47,11.94,38.33,6.59,14.188999999999998,6.42,15.133999999999999,6.85,0.0,0.0,0.0,0.0,0.0
45,"Armstrong, Shawn",R,FF,378.0,0.0,0.0,92.2,-0.47,11.94,38.33,6.59,4.847,1.28,15.141999999999998,4.01,0.0,0.0,0.0,0.0,0.0
46,"Arrieta, Jake",R,SI,0.0,926.0,0.0,91.4,15.76,8.9,40.4,5.89,84.19100000000002,9.09,95.955,10.36,0.0,0.0,0.0,0.0,0.0
47,"Avila, Pedro",R,FF,33.0,0.0,0.0,93.1,6.52,15.66,23.98,6.17,2.07,6.269999999999999,1.784,5.41,0.0,0.0,0.0,0.0,0.0
48,"Avila, Pedro",R,SI,0.0,10.0,0.0,93.1,6.52,15.66,23.98,6.17,0.961,9.61,0.432,4.32,0.0,0.0,0.0,0.0,0.0
49,"Axford, John",R,FF,4.0,0.0,0.0,94.4,12.76,12.74,28.92,6.61,0.357,8.92,0.402,10.05,0.0,0.0,0.0,0.0,0.0
50,"Axford, John",R,SI,0.0,15.0,0.0,94.4,12.76,12.74,28.92,6.61,0.778,5.19,1.006,6.71,0.0,0.0,0.0,0.0,0.0
51,"Baker, Bryan",R,FC,0.0,0.0,5.0,93.0,-1.38,14.78,3.51,6.21,0.3259999999999999,6.52,0.398,7.960000000000001,0.0,0.0,0.0,0.0,0.0
52,"Baker, Bryan",R,FF,14.0,0.0,0.0,93.0,-1.38,14.78,3.51,6.21,-0.62,-4.43,0.17900000000000002,1.28,0.0,0.0,0.0,0.0,0.0
53,"Bard, Daniel",R,FF,419.0,0.0,0.0,97.4,10.94,8.6,43.93,6.15,21.277,5.08,30.342999999999996,7.240000000000001,0.0,0.0,0.0,0.0,0.0
54,"Bard, Daniel",R,SI,0.0,166.0,0.0,97.4,10.94,8.6,43.93,6.15,18.151,10.93,16.214,9.77,0.0,0.0,0.0,0.0,0.0
55,"Barlow, Joe",R,FF,205.0,0.0,0.0,94.4,5.36,19.26,2.45,6.09,3.822,1.8599999999999999,14.234,6.9399999999999995,0.0,0.0,0.0,0.0,0.0
56,"Barlow, Joe",R,SI,0.0,7.0,0.0,94.4,5.36,19.26,2.45,6.09,-0.354,-5.0600000000000005,0.07400000000000001,1.06,0.0,0.0,0.0,0.0,0.0
57,"Barlow, Scott",R,FF,405.0,0.0,0.0,95.3,5.35,14.18,34.28,6.81,22.381,5.53,22.005,5.43,0.0,0.0,0.0,0.0,0.0
58,"Barlow, Scott",R,SI,0.0,3.0,0.0,95.3,5.35,14.18,34.28,6.81,-0.039,-1.3,0.351,11.7,0.0,0.0,0.0,0.0,0.0
59,"Barnes, Jacob",R,FC,0.0,0.0,217.0,92.2,-0.61,13.81,32.64,6.77,5.972,2.75,6.556,3.02,0.0,0.0,0.0,0.0,0.0
60,"Barnes, Jacob",R,FF,313.0,0.0,0.0,92.2,-0.61,13.81,32.64,6.77,8.312000000000001,2.66,9.515,3.04,0.0,0.0,0.0,0.0,0.0
61,"Barnes, Matt",R,FF,458.0,0.0,0.0,95.8,10.9,17.46,28.7,6.89,16.097,3.51,17.892,3.91,0.0,0.0,0.0,0.0,0.0
62,"Barraclough, Kyle",R,FF,140.0,0.0,0.0,93.1,7.89,15.3,43.7,6.43,0.4650000000000001,0.33,1.85,1.32,0.0,0.0,0.0,0.0,0.0
63,"Barreda, Manny",R,FF,32.0,0.0,0.0,94.2,7.08,18.05,24.2,6.1,3.0980000000000003,9.68,3.158,9.87,0.0,0.0,0.0,0.0,0.0
64,"Barría, Jaime",R,FF,320.0,0.0,0.0,93.0,6.94,16.29,27.63,6.16,15.004,4.69,20.383,6.37,0.0,0.0,0.0,0.0,0.0
65,"Barría, Jaime",R,SI,0.0,181.0,0.0,93.0,6.94,16.29,27.63,6.16,14.459999999999999,7.99,13.614,7.52,0.0,0.0,0.0,0.0,0.0
66,"Bass, Anthony",R,FF,70.0,0.0,0.0,95.3,12.23,14.68,16.37,6.36,5.195,7.42,4.344,6.21,0.0,0.0,0.0,0.0,0.0
67,"Bass, Anthony",R,SI,0.0,400.0,0.0,95.3,12.23,14.68,16.37,6.36,25.035,6.26,34.932,8.73,0.0,0.0,0.0,0.0,0.0
68,"Bassitt, Chris",R,FC,0.0,0.0,436.0,91.9,9.87,11.12,26.24,6.34,21.286,4.879999999999999,23.572,5.41,0.0,0.0,0.0,0.0,0.0
69,"Bassitt, Chris",R,FF,457.0,0.0,0.0,91.9,9.87,11.12,26.24,6.34,-14.760000000000002,-3.23,0.307,0.07,0.0,0.0,0.0,0.0,0.0
70,"Bassitt, Chris",R,SI,0.0,847.0,0.0,91.9,9.87,11.12,26.24,6.34,50.584,5.97,59.852000000000004,7.07,0.0,0.0,0.0,0.0,0.0
71,"Bauer, Trevor",R,FC,0.0,0.0,372.0,91.1,5.38,13.24,31.74,6.45,15.219999999999999,4.09,22.998,6.18,0.0,0.0,0.0,0.0,0.0
72,"Bauer, Trevor",R,FF,663.0,0.0,0.0,91.1,5.38,13.24,31.74,6.45,17.729000000000003,2.67,31.029999999999998,4.68,0.0,0.0,0.0,0.0,0.0
73,"Bauer, Trevor",R,SI,0.0,99.0,0.0,91.1,5.38,13.24,31.74,6.45,-2.692,-2.72,1.9589999999999999,1.9800000000000002,0.0,0.0,0.0,0.0,0.0
74,"Baumann, Mike",R,FF,103.0,0.0,0.0,93.6,3.34,18.05,24.5,6.65,7.243,7.03,8.53,8.28,0.0,0.0,0.0,0.0,0.0
75,"Baz, Shane",R,FF,108.0,0.0,0.0,97.0,9.75,18.12,30.1,6.68,1.019,0.94,0.023999999999999896,0.02,0.0,0.0,0.0,0.0,0.0
76,"Bazardo, Eduard",R,FF,19.0,0.0,0.0,93.8,7.04,16.16,33.0,5.96,-0.2879999999999999,-1.52,1.0,5.26,0.0,0.0,0.0,0.0,0.0
77,"Beasley, Jeremy",R,FF,110.0,0.0,0.0,95.1,6.43,17.22,36.5,6.23,7.977,7.25,3.8649999999999998,3.51,0.0,0.0,0.0,0.0,0.0
78,"Bednar, David",R,FF,520.0,0.0,0.0,96.7,8.94,16.56,39.2,6.71,7.302,1.4,5.74,1.1,0.0,0.0,0.0,0.0,0.0
79,"Bedrosian, Cam",R,FF,235.0,0.0,0.0,92.9,4.0,18.76,30.7,6.05,14.559000000000001,6.2,16.502,7.02,0.0,0.0,0.0,0.0,0.0
80,"Beede, Tyler",R,FF,13.0,0.0,0.0,95.9,8.55,11.84,37.0,6.45,2.0669999999999997,15.900000000000002,1.4949999999999999,11.5,0.0,0.0,0.0,0.0,0.0
81,"Bellatti, Andrew",R,FF,45.0,0.0,0.0,94.3,10.35,16.91,33.1,5.84,3.241,7.2,3.3099999999999996,7.359999999999999,0.0,0.0,0.0,0.0,0.0
